ident,type,lat,lon,name,country
AAALL,fix,42.12018888,-71.14176111,AAALL,US
AAAME,fix,37.77090833,-122.08281111,AAAME,US
AAARG,fix,32.69396388,-78.05129444,AAARG,US
AAARN,fix,34.28149722,-85.26817222,AAARN,US
AABBZ,fix,37.8735,-86.30871111,AABBZ,US
AABEE,fix,34.06805555,-84.21436388,AABEE,US
AABER,fix,26.07277777,-81.33,AABER,US
AABEY,fix,38.12292222,-85.51390833,AABEY,US
AABEZ,fix,44.78808333,-93.00471111,AABEZ,US
AABGL,fix,38.24448333,-85.97403888,AABGL,US
AABLE,fix,40.17092777,-90.65886944,AABLE,US
AACES,fix,35.27208611,-97.14443888,AACES,US
AACEZ,fix,34.55277777,-73.99666666,AACEZ,US
AADCO,fix,39.78481944,-112.461825,AADCO,US
AADDY,fix,39.1968,-76.97340833,AADDY,US
AADEN,fix,31.54113333,-82.92853055,AADEN,US
AADIE,fix,39.88709166,-86.49233333,AADIE,US
AADMS,fix,42.585425,-71.318925,AADMS,US
AADPO,fix,-14.16876111,-170.96753333,AADPO,US
AAERO,fix,39.59936944,-106.97944722,AAERO,US
AAFRE,fix,40.45011388,-79.91777222,AAFRE,US
AAGEE,fix,40.02714166,-104.77826111,AAGEE,US
AAGIN,fix,40.58311388,-88.31391111,AAGIN,US
AAHOY,fix,28.57064444,-83.09790555,AAHOY,US
AAHZZ,fix,29.73092777,-95.93166388,AAHZZ,US
AAIRE,fix,35.14626944,-81.06231388,AAIRE,US
AAIRR,fix,38.56909166,-79.1435,AAIRR,US
AAITT,fix,61.61371944,-149.89802777,AAITT,US
AAJAE,fix,32.43921944,-93.62228611,AAJAE,US
AAJAY,fix,38.93265555,-84.54040555,AAJAY,US
AAKAY,fix,33.63417222,-84.7933,AAKAY,US
AALAN,fix,36.58871944,-113.91835833,AALAN,US
AALEX,fix,33.05354722,-80.34076944,AALEX,US
AALII,fix,35.06333055,-92.00283888,AALII,US
AALIX,fix,48.50441388,-121.75634722,AALIX,US
AALLE,fix,40.453425,-103.75699722,AALLE,US
AALNG,fix,45.76128611,-110.87349722,AALNG,US
AALYS,fix,44.67318055,-69.06966111,AALYS,US
AAMBR,fix,37.72611666,-92.64953055,AAMBR,US
AAMEE,fix,41.81989444,-87.89577777,AAMEE,US
AAMMO,fix,35.10631111,-79.75926666,AAMMO,US
AAMOS,fix,30.51497222,-81.97505555,AAMOS,US
AAMYY,fix,51.39993055,171.55372777,AAMYY,US
AANAH,fix,44.39458333,-93.34582222,AANAH,US
AANDD,fix,34.41194722,-97.14493888,AANDD,US
AANDI,fix,30.41151666,-88.918825,AANDI,US
AANDY,fix,41.82166666,-96.06527777,AANDY,US
AANET,fix,38.53076944,-122.49719444,AANET,US
AANNE,fix,36.35170555,-121.36366944,AANNE,US
AANNN,fix,37.59638888,-77.22688055,AANNN,US
AANTS,fix,38.71865555,-78.46264722,AANTS,US
AANZA,fix,43.76293333,-91.48561666,AANZA,US
AARBY,fix,38.81660277,-90.67375555,AARBY,US
AARCH,fix,39.09361111,-89.1625,AARCH,US
AARCI,fix,33.57713055,-117.04472222,AARCI,US
AAREE,fix,32.44313611,-93.61806666,AAREE,US
AAREN,fix,36.511025,-78.95784722,AAREN,US
AARES,fix,20.99861111,-157.095,AARES,US
AARGH,fix,34.89306944,-99.90773055,AARGH,US
AARIN,fix,39.92027777,-86.22111111,AARIN,US
AARNN,fix,36.378775,-78.01779166,AARNN,US
AARON,fix,43.40038611,-122.70099166,AARON,US
AARPS,fix,26.70675833,-80.27091111,AARPS,US
AARTA,fix,34.60591388,-87.27354166,AARTA,US
AARUN,fix,33.73481944,-66.26180833,AARUN,US
AARWX,fix,26.64470833,-80.34123055,AARWX,US
AASEN,fix,45.82989722,-122.61190277,AASEN,US
AASON,fix,40.8617,-115.61266111,AASON,US
AASPN,fix,34.26820277,-117.03265555,AASPN,US
AASTN,fix,37.08846111,-80.71146944,AASTN,US
AASUM,fix,43.66647222,-70.23261388,AASUM,US
AASUN,fix,44.90767777,-93.25504444,AASUN,US
AATAT,fix,33.16720833,-83.43720277,AATAT,US
AATRE,fix,21.21973611,-157.92191944,AATRE,US
AAVON,fix,39.76423888,-108.13601944,AAVON,US
AAVVA,fix,37.60746111,-77.39639444,AAVVA,US
AAYDE,fix,43.24234166,-90.849275,AAYDE,US
AAYES,fix,39.72000277,-105.07870833,AAYES,US
AAYJY,fix,33.68554722,-118.172375,AAYJY,US
AAYRR,fix,46.64681944,-123.72238888,AAYRR,US
ABASN,fix,38.99665833,-106.58103333,ABASN,US
ABSAW,fix,44.032075,-93.88008888,ABSAW,US
ACABE,fix,36.29372777,-82.32411944,ACABE,US
ACACE,fix,44.63203611,-96.04200277,ACACE,US
ACACO,fix,41.89962222,-111.84167777,ACACO,US
ACADI,fix,38.9283,-78.25307222,ACADI,US
ACADN,fix,44.66666666,-64.0,ACADN,CA
ACADO,fix,32.67393055,-97.60716944,ACADO,US
ACAFI,fix,46.36520555,-114.12180555,ACAFI,US
ACAFO,fix,42.76525555,-75.51999722,ACAFO,US
ACAGI,fix,40.43227777,-106.84273333,ACAGI,US
